name	city	region	type	next_date	next_end	url
Day of Data Detroit	Detroit	Michigan	conference	2026-09-12	-	https://sqlsaturday.com/2026-09-12-sqlsaturday1164/
Maker Faire NW Arkansas	Fayetteville	Arkansas	festival	2026-09-12	2026-09-12	https://nwa.makerfaire.com/
HackWesTX	Lubbock	Texas	hackathon	2026-09-12	2026-09-13	https://hackwestx.gdgttu.com/
Vintage Computer Festival Midwest	Schaumburg	Illinois	festival	2026-09-12	2026-09-13	https://vcfmw.org/
Maker Faire Waterloo	Waterloo	Ontario	festival	2026-09-13	2026-09-13	https://www.waterloomakerfaire.org/
Alaska Entrepreneurship Week	Anchorage	Alaska	startup-week	2026-09-14	2026-09-18	https://www.alaskastartups.com/
Georgia Tech All-Majors Career Fair	Atlanta	Georgia	career-fair	2026-09-14	2026-09-15	https://career.gatech.edu/career-fair
Best of Tech Awards	Cleveland	Ohio	awards	2026-09-14	2026-09-14	https://greatercle.com/tech/
Splunk .conf	Denver	Colorado	conference	2026-09-14	2026-09-17	https://conf.splunk.com/
posit::conf	Houston	Texas	conference	2026-09-14	2026-09-16	https://conf.posit.co
3686	Nashville	Tennessee	conference	2026-09-14	2026-09-16	https://www.attend3686.com
VSLive! San Diego	San Diego	California	conference	2026-09-14	2026-09-18	https://vslive.com/
New Ventures BC Demo Day	Vancouver	British Columbia	demo-day	2026-09-14	2026-09-14	https://www.newventuresbc.com/demo-day/
AI Infra Summit	Santa Clara	California	summit	2026-09-15	2026-09-17	https://www.ai-infra-summit.com/
Cloud Nirvana Columbus	Columbus	Ohio	conference	2026-09-16	2026-09-16	https://cloudnirvana.org/
DevOps Midwest	St. Louis	Missouri	conference	2026-09-16	2026-09-17	https://dev.events/NA/US/MO/tech
Central Iowa Software Symposium	Des Moines	Iowa	conference	2026-09-17	2026-09-18	https://nofluffjuststuff.com/desmoines
Business Value Builder Summit	Huntington	West Virginia	summit	2026-09-17	-	https://www.marshall.edu/icenter/business-value-builder-summit/
DDX Innovation & UX Conference San Diego	San Diego	California	conference	2026-09-17	2026-09-17	https://dev.events/NA/US/CA/San_Diego
Innovation Expo Sioux Falls	Sioux Falls	South Dakota	expo	2026-09-17	2026-09-17	https://startupsiouxfalls.com/events/
Tampa Bay Wave BlueTech|X Pitch Night	Tampa	Florida	demo-day	2026-09-17	2026-09-17	https://www.tampabaywave.org/events100/
Autonomous Nation	Wheatland	North Dakota	conference	2026-09-17	-	https://grandfarm.com/autonomous-nation/
HackHers @GSU	Atlanta	Georgia	hackathon	2026-09-18	2026-09-19	https://hackhers.club/
HopHacks	Baltimore	Maryland	hackathon	2026-09-18	2026-09-20	https://hophacks.com/
VTHacks	Blacksburg	Virginia	hackathon	2026-09-18	2026-09-20	https://vthacks.com/
BSidesCache	Logan	Utah	conference	2026-09-18	2026-09-18	https://dev.events/NA/US/UT
UtahJS Conference	Sandy	Utah	conference	2026-09-18	2026-09-18	https://utahjs.com/conference
CIPS Ontario Women in Technology Conference	Toronto	Ontario	conference	2026-09-18	2026-09-18	https://cips.ca/event/2026-cips-ontario-3rd-annual-women-in-technology-conference/
Hack the North	Waterloo	Ontario	hackathon	2026-09-18	2026-09-20	https://hackthenorth.com/
HackMIT	Cambridge	Massachusetts	hackathon	2026-09-19	2026-09-20	https://hackmit.org/
RedacteCON	Grand Junction	Colorado	conference	2026-09-19	2026-09-19	https://dev.events/NA/US/CO
BSides Montreal	Montreal	Quebec	conference	2026-09-19	2026-09-19	https://bsidesmtl.ca
SteelHacks	Pittsburgh	Pennsylvania	hackathon	2026-09-19	2026-09-20	https://steelhacks.org/
Salt Lake City Day of Data	Salt Lake City	Utah	conference	2026-09-19	-	https://sqlsaturday.com/2026-09-19-sqlsaturday1152/
DevFest Salt Lake City	Salt Lake City	Utah	conference	2026-09-19	2026-09-19	https://gdg.community.dev/
Day of Data Winnipeg	Winnipeg	Manitoba	conference	2026-09-19	-	https://sqlsaturday.com/2026-09-19-sqlsaturday1159/
STARWEST	Anaheim	California	conference	2026-09-20	2026-09-25	https://starwest.techwell.com/
Full Indie Summit	Vancouver	British Columbia	conference	2026-09-20	2026-09-20	https://www.fullindie.com/
Explore DDD	Denver	Colorado	conference	2026-09-21	2026-09-25	https://exploreddd.com/
SANS Network Security	Las Vegas	Nevada	bootcamp	2026-09-21	2026-09-26	https://www.sans.org/cyber-security-training-events/network-security-2026/
Partner Vibe	Salt Lake City	Utah	conference	2026-09-21	2026-09-23	https://dev.events/NA/US/UT
Tulsa Tech Week	Tulsa	Oklahoma	tech-week	2026-09-21	2026-09-26	https://www.tulsatechweek.ai
Victoria Tech Week	Victoria	British Columbia	tech-week	2026-09-21	2026-09-25	https://luma.com/victoriatechweek2026
Prairie Dev Con	Winnipeg	Manitoba	conference	2026-09-21	2026-09-22	https://www.prairiedevcon.com/
a2Tech360	Ann Arbor	Michigan	tech-week	2026-09-22	2026-10-02	https://a2tech360.com
devopsdays Denver	Denver	Colorado	conference	2026-09-22	2026-09-23	https://devopsdays.org/events/2026-denver/welcome/
National Cyber Summit	Huntsville	Alabama	summit	2026-09-22	2026-09-24	https://www.nationalcybersummit.com
Oktane	Las Vegas	Nevada	conference	2026-09-22	2026-09-24	https://www.okta.com/oktane/
Product-Led Summit San Francisco	San Francisco	California	summit	2026-09-22	2026-09-23	https://world.productledalliance.com/
Elevate Festival	Toronto	Ontario	festival	2026-09-22	2026-09-24	https://elevatefestival.ca/
Rails World	Austin	Texas	conference	2026-09-23	2026-09-24	https://rubyonrails.org/world
GoSec	Montreal	Quebec	conference	2026-09-23	2026-09-24	https://gosec.net
Digital Summit Philadelphia	Philadelphia	Pennsylvania	conference	2026-09-23	2026-09-24	https://www.digitalsummit.com/
Maker Faire Brownsville	Brownsville	Texas	festival	2026-09-24	2026-09-26	https://www.btxspacefest.com/makerfaire
BSides Edmonton	Edmonton	Alberta	conference	2026-09-24	2026-09-25	https://www.bsidesedmonton.org/
Silicon Couloir Pitch Day	Jackson	Wyoming	demo-day	2026-09-24	-	https://siliconcouloir.com/pitch-day/
Digital Okanagan	Kelowna	British Columbia	meetup-series	2026-09-24	2026-09-24	https://www.meetup.com/digitalokanagan/
CHROMA	Tulsa	Oklahoma	conference	2026-09-24	2026-09-24	https://chroma.joingradient.com
Security BSides Albuquerque	Albuquerque	New Mexico	conference	2026-09-25	2026-09-26	https://bsidesabq.org/
The AI Pivot Conference	Anaheim	California	conference	2026-09-25	2026-09-25	https://dev.events/NA/US/CA
HackGT	Atlanta	Georgia	hackathon	2026-09-25	2026-09-27	https://hack.gt/
ShellHacks	Miami	Florida	hackathon	2026-09-25	2026-09-27	https://shellhacks.net/
BSides Orlando	Orlando	Florida	conference	2026-09-25	2026-09-26	https://bsidesorlando.org/
Maker Faire Bay Area	Vallejo	California	festival	2026-09-25	2026-09-27	https://makerfaire.com/bay-area/
BSides Vancouver Island	Victoria	British Columbia	conference	2026-09-25	2026-09-25	https://bsidesvi.com
hackUMBC	Baltimore	Maryland	hackathon	2026-09-26	2026-09-27	https://hackumbc.tech/
BSides Cleveland	Cleveland	Ohio	conference	2026-09-26	2026-09-26	https://bsidescle.com/
DivHacks	New York	New York	hackathon	2026-09-26	2026-09-27	https://www.columbiadivhacks.org/
OwlHacks	Philadelphia	Pennsylvania	hackathon	2026-09-26	2026-09-27	https://www.owlhacks.com/
