name	city	region	type	next_date	next_end	url
Day of Data Detroit	Detroit	Michigan	conference	2026-09-12	-	https://sqlsaturday.com/2026-09-12-sqlsaturday1164/
Maker Faire NW Arkansas	Fayetteville	Arkansas	festival	2026-09-12	2026-09-12	https://nwa.makerfaire.com/
HackWesTX	Lubbock	Texas	hackathon	2026-09-12	2026-09-13	https://hackwestx.gdgttu.com/
Vintage Computer Festival Midwest	Schaumburg	Illinois	festival	2026-09-12	2026-09-13	https://vcfmw.org/
Maker Faire Waterloo	Waterloo	Ontario	festival	2026-09-13	2026-09-13	https://www.waterloomakerfaire.org/
Alaska Entrepreneurship Week	Anchorage	Alaska	startup-week	2026-09-14	2026-09-18	https://www.alaskastartups.com/
Georgia Tech All-Majors Career Fair	Atlanta	Georgia	career-fair	2026-09-14	2026-09-15	https://career.gatech.edu/career-fair
Best of Tech Awards	Cleveland	Ohio	awards	2026-09-14	2026-09-14	https://greatercle.com/tech/
Splunk .conf	Denver	Colorado	conference	2026-09-14	2026-09-17	https://conf.splunk.com/
posit::conf	Houston	Texas	conference	2026-09-14	2026-09-16	https://conf.posit.co
3686	Nashville	Tennessee	conference	2026-09-14	2026-09-16	https://www.attend3686.com
VSLive! San Diego	San Diego	California	conference	2026-09-14	2026-09-18	https://vslive.com/
New Ventures BC Demo Day	Vancouver	British Columbia	demo-day	2026-09-14	2026-09-14	https://www.newventuresbc.com/demo-day/
AI Infra Summit	Santa Clara	California	summit	2026-09-15	2026-09-17	https://www.ai-infra-summit.com/
Cloud Nirvana Columbus	Columbus	Ohio	conference	2026-09-16	2026-09-16	https://cloudnirvana.org/
DevOps Midwest	St. Louis	Missouri	conference	2026-09-16	2026-09-17	https://dev.events/NA/US/MO/tech
Central Iowa Software Symposium	Des Moines	Iowa	conference	2026-09-17	2026-09-18	https://nofluffjuststuff.com/desmoines
Business Value Builder Summit	Huntington	West Virginia	summit	2026-09-17	-	https://www.marshall.edu/icenter/business-value-builder-summit/
DDX Innovation & UX Conference San Diego	San Diego	California	conference	2026-09-17	2026-09-17	https://dev.events/NA/US/CA/San_Diego
Innovation Expo Sioux Falls	Sioux Falls	South Dakota	expo	2026-09-17	2026-09-17	https://startupsiouxfalls.com/events/
Tampa Bay Wave BlueTech|X Pitch Night	Tampa	Florida	demo-day	2026-09-17	2026-09-17	https://www.tampabaywave.org/events100/
Autonomous Nation	Wheatland	North Dakota	conference	2026-09-17	-	https://grandfarm.com/autonomous-nation/
HackHers @GSU	Atlanta	Georgia	hackathon	2026-09-18	2026-09-19	https://hackhers.club/
HopHacks	Baltimore	Maryland	hackathon	2026-09-18	2026-09-20	https://hophacks.com/
VTHacks	Blacksburg	Virginia	hackathon	2026-09-18	2026-09-20	https://vthacks.com/
BSidesCache	Logan	Utah	conference	2026-09-18	2026-09-18	https://dev.events/NA/US/UT
UtahJS Conference	Sandy	Utah	conference	2026-09-18	2026-09-18	https://utahjs.com/conference
CIPS Ontario Women in Technology Conference	Toronto	Ontario	conference	2026-09-18	2026-09-18	https://cips.ca/event/2026-cips-ontario-3rd-annual-women-in-technology-conference/
Hack the North	Waterloo	Ontario	hackathon	2026-09-18	2026-09-20	https://hackthenorth.com/
HackMIT	Cambridge	Massachusetts	hackathon	2026-09-19	2026-09-20	https://hackmit.org/
RedacteCON	Grand Junction	Colorado	conference	2026-09-19	2026-09-19	https://dev.events/NA/US/CO
BSides Montreal	Montreal	Quebec	conference	2026-09-19	2026-09-19	https://bsidesmtl.ca
SteelHacks	Pittsburgh	Pennsylvania	hackathon	2026-09-19	2026-09-20	https://steelhacks.org/
Salt Lake City Day of Data	Salt Lake City	Utah	conference	2026-09-19	-	https://sqlsaturday.com/2026-09-19-sqlsaturday1152/
DevFest Salt Lake City	Salt Lake City	Utah	conference	2026-09-19	2026-09-19	https://gdg.community.dev/
Day of Data Winnipeg	Winnipeg	Manitoba	conference	2026-09-19	-	https://sqlsaturday.com/2026-09-19-sqlsaturday1159/
STARWEST	Anaheim	California	conference	2026-09-20	2026-09-25	https://starwest.techwell.com/
Full Indie Summit	Vancouver	British Columbia	conference	2026-09-20	2026-09-20	https://www.fullindie.com/
Explore DDD	Denver	Colorado	conference	2026-09-21	2026-09-25	https://exploreddd.com/
SANS Network Security	Las Vegas	Nevada	bootcamp	2026-09-21	2026-09-26	https://www.sans.org/cyber-security-training-events/network-security-2026/
Partner Vibe	Salt Lake City	Utah	conference	2026-09-21	2026-09-23	https://dev.events/NA/US/UT
Tulsa Tech Week	Tulsa	Oklahoma	tech-week	2026-09-21	2026-09-26	https://www.tulsatechweek.ai
Victoria Tech Week	Victoria	British Columbia	tech-week	2026-09-21	2026-09-25	https://luma.com/victoriatechweek2026
Prairie Dev Con	Winnipeg	Manitoba	conference	2026-09-21	2026-09-22	https://www.prairiedevcon.com/
a2Tech360	Ann Arbor	Michigan	tech-week	2026-09-22	2026-10-02	https://a2tech360.com
devopsdays Denver	Denver	Colorado	conference	2026-09-22	2026-09-23	https://devopsdays.org/events/2026-denver/welcome/
National Cyber Summit	Huntsville	Alabama	summit	2026-09-22	2026-09-24	https://www.nationalcybersummit.com
Oktane	Las Vegas	Nevada	conference	2026-09-22	2026-09-24	https://www.okta.com/oktane/
Product-Led Summit San Francisco	San Francisco	California	summit	2026-09-22	2026-09-23	https://world.productledalliance.com/
Elevate Festival	Toronto	Ontario	festival	2026-09-22	2026-09-24	https://elevatefestival.ca/
Rails World	Austin	Texas	conference	2026-09-23	2026-09-24	https://rubyonrails.org/world
GoSec	Montreal	Quebec	conference	2026-09-23	2026-09-24	https://gosec.net
Digital Summit Philadelphia	Philadelphia	Pennsylvania	conference	2026-09-23	2026-09-24	https://www.digitalsummit.com/
Maker Faire Brownsville	Brownsville	Texas	festival	2026-09-24	2026-09-26	https://www.btxspacefest.com/makerfaire
BSides Edmonton	Edmonton	Alberta	conference	2026-09-24	2026-09-25	https://www.bsidesedmonton.org/
Silicon Couloir Pitch Day	Jackson	Wyoming	demo-day	2026-09-24	-	https://siliconcouloir.com/pitch-day/
Digital Okanagan	Kelowna	British Columbia	meetup-series	2026-09-24	2026-09-24	https://www.meetup.com/digitalokanagan/
CHROMA	Tulsa	Oklahoma	conference	2026-09-24	2026-09-24	https://chroma.joingradient.com
Security BSides Albuquerque	Albuquerque	New Mexico	conference	2026-09-25	2026-09-26	https://bsidesabq.org/
The AI Pivot Conference	Anaheim	California	conference	2026-09-25	2026-09-25	https://dev.events/NA/US/CA
HackGT	Atlanta	Georgia	hackathon	2026-09-25	2026-09-27	https://hack.gt/
ShellHacks	Miami	Florida	hackathon	2026-09-25	2026-09-27	https://shellhacks.net/
BSides Orlando	Orlando	Florida	conference	2026-09-25	2026-09-26	https://bsidesorlando.org/
Maker Faire Bay Area	Vallejo	California	festival	2026-09-25	2026-09-27	https://makerfaire.com/bay-area/
BSides Vancouver Island	Victoria	British Columbia	conference	2026-09-25	2026-09-25	https://bsidesvi.com
hackUMBC	Baltimore	Maryland	hackathon	2026-09-26	2026-09-27	https://hackumbc.tech/
BSides Cleveland	Cleveland	Ohio	conference	2026-09-26	2026-09-26	https://bsidescle.com/
DivHacks	New York	New York	hackathon	2026-09-26	2026-09-27	https://www.columbiadivhacks.org/
OwlHacks	Philadelphia	Pennsylvania	hackathon	2026-09-26	2026-09-27	https://www.owlhacks.com/
Day of Data Toronto	Toronto	Ontario	conference	2026-09-26	-	https://sqlsaturday.com/2026-09-26-sqlsaturday1160/
CanSecWest	Vancouver	British Columbia	conference	2026-09-26	2026-10-01	https://www.secwest.net/
NC TECH Summit for Women in Tech	Asheville	North Carolina	summit	2026-09-28	2026-09-29	https://www.nctech.org/events/signature-events/index.html
SANS DC Metro	Bethesda	Maryland	bootcamp	2026-09-28	2026-10-03	https://www.sans.org/cyber-security-training-events/dc-metro-september-2026/
Boise Entrepreneur Week	Boise	Idaho	startup-week	2026-09-28	2026-10-02	https://www.boiseentrepreneurweek.org/
Rocky Mountain Ruby	Boulder	Colorado	conference	2026-09-28	2026-09-29	https://rockymtnruby.dev/
DevOpsDays Dallas	Dallas	Texas	conference	2026-09-28	2026-09-29	https://devopsdays.org/events/2026-dallas/welcome/
Iowa Startup Week	Des Moines	Iowa	startup-week	2026-09-28	2026-10-01	https://www.iowastartupweek.com
DevOpsCon New York	New York	New York	conference	2026-09-28	2026-10-02	https://devopscon.io/new-york/
Reno Startup Week	Reno	Nevada	startup-week	2026-09-28	2026-10-02	https://www.renostartupweek.com/
BSides Saskatoon	Saskatoon	Saskatchewan	conference	2026-09-28	2026-09-28	https://bsidesyxe.ca
JumpStart VC Fest	Cleveland	Ohio	conference	2026-09-29	2026-09-30	https://ohiovcfest.com
DevOpsDays Halifax	Halifax	Nova Scotia	conference	2026-09-29	2026-09-29	https://devopsdays.org/events/2026-halifax/welcome/
The AI Conference	San Francisco	California	conference	2026-09-29	2026-10-01	https://aiconference.com/
Fully Connected	San Francisco	California	conference	2026-09-29	2026-10-01	https://www.coreweave.com/fully-connected-2026
Clojure/conj	Charlotte	North Carolina	conference	2026-09-30	2026-10-02	https://2026.clojure-conj.org/
Umbraco US Festival	Chicago	Illinois	conference	2026-09-30	2026-10-01	https://dev.events/NA/US/IL/Chicago/tech
MongoDB.local NYC	New York	New York	conference	2026-09-30	2026-09-30	https://www.mongodb.com/events/mongodb-local/nyc
TechExit.io Calgary	Calgary	Alberta	conference	2026-10-01	2026-10-01	https://techexit.io/calgary/
devopsdays Philadelphia	Philadelphia	Pennsylvania	conference	2026-10-01	2026-10-02	https://devopsdays.org/events/2026-philadelphia/welcome/
Ignite Seattle	Seattle	Washington	meetup-series	2026-10-01	-	https://www.igniteseattle.com/
Minnedemo	St. Paul	Minnesota	demo-day	2026-10-01	2026-10-01	https://minnestar.org/minnedemo/
BSides Bloomington	Bloomington	Indiana	conference	2026-10-02	2026-10-03	https://www.bsidesbloomington.org/
BigRed//Hacks	Ithaca	New York	hackathon	2026-10-02	2026-10-04	https://www.bigredhacks.com/
Manufacturing Day at WSU Tech	Wichita	Kansas	career-fair	2026-10-02	2026-10-02	https://wsutech.edu/wsutechevents/
MHacks	Ann Arbor	Michigan	hackathon	2026-10-03	2026-10-04	https://www.mhacks.org/
BSides Atlanta	Atlanta	Georgia	conference	2026-10-03	2026-10-03	https://bsidesatl.info
Boston Data and AI Saturday	Boston	Massachusetts	conference	2026-10-03	-	https://sqlsaturday.com/2026-10-03-sqlsaturday1150/
Boston Festival of Indie Games	Boston	Massachusetts	festival	2026-10-03	2026-10-03	https://bostonfig.com/
Hack Dearborn	Dearborn	Michigan	hackathon	2026-10-03	2026-10-04	https://www.hackdearborn.org/
BSides Memphis	Memphis	Tennessee	conference	2026-10-03	2026-10-03	https://bsidesmemphis.org
GirlHacks	Newark	New Jersey	hackathon	2026-10-03	2026-10-04	https://www.njitgirlhacks.com/
Rowdy Hacks	San Antonio	Texas	hackathon	2026-10-03	2026-10-04	https://rowdyhacks.org/
PyBay	San Francisco	California	conference	2026-10-03	2026-10-03	https://pybay.org/
Maker Faire Happy Valley	State College	Pennsylvania	festival	2026-10-03	2026-10-04	https://happyvalley.makerfaire.com/
BSides Toronto	Toronto	Ontario	conference	2026-10-03	2026-10-04	https://www.bsidesto.ca
Offensive AI Con	San Diego	California	conference	2026-10-04	2026-10-07	https://www.offensiveaicon.com/
StartupCincy Week	Cincinnati	Ohio	startup-week	2026-10-05	2026-10-08	https://startupcincyweek.com
West Slope Startup Week	Durango	Colorado	startup-week	2026-10-05	2026-10-09	https://dev.events/NA/US/CO
SAP Connect	Las Vegas	Nevada	conference	2026-10-05	2026-10-07	https://www.sap.com/events.html
Lesbians Who Tech + Allies Summit	New York	New York	summit	2026-10-05	2026-10-08	https://lwtsquad.com/
Advertising Week New York	New York	New York	festival	2026-10-05	2026-10-08	https://advertisingweek.com/
SF Tech Week	San Francisco	California	tech-week	2026-10-05	2026-10-11	https://www.tech-week.com/
MCP Dev Summit Toronto	Toronto	Ontario	conference	2026-10-05	2026-10-06	https://events.linuxfoundation.org/mcp-dev-summit-toronto
Digital Summit Atlanta	Atlanta	Georgia	conference	2026-10-06	2026-10-07	https://www.digitalsummit.com/
Mind the Product Chicago	Chicago	Illinois	conference	2026-10-06	2026-10-07	https://www.mindtheproduct.com/conferences/chicago/
Scrum Day Houston	Houston	Texas	conference	2026-10-06	2026-10-06	https://dev.events/NA/US/TX/tech
Launch Wisconsin	Milwaukee	Wisconsin	demo-day	2026-10-06	2026-10-06	https://launchwisconsin.biz
NH Tech Alliance Innovation Summit	Nashua	New Hampshire	summit	2026-10-06	-	http://nhtechalliance.org/innovation-summit
ICS Cybersecurity Conference Nashville	Nashville	Tennessee	conference	2026-10-06	2026-10-08	https://www.icscybersecurityconference.com/
SecTor	Toronto	Ontario	conference	2026-10-06	2026-10-08	https://www.blackhat.com/sector/2026/
Prairie Capital Summit	Fargo	North Dakota	summit	2026-10-07	-	https://www.emergingprairie.com/prairie-capital-summit/
Data Streaming Summit	San Francisco	California	summit	2026-10-07	2026-10-08	https://datastreaming-summit.org/
ElasticON New York	New York	New York	conference	2026-10-08	2026-10-08	https://www.elastic.co/elasticon
HackNC	Chapel Hill	North Carolina	hackathon	2026-10-09	2026-10-11	https://hacknc.com/
Hack Knight	Flushing	New York	hackathon	2026-10-09	2026-10-11	https://hackknight.org/
Knight Hacks	Orlando	Florida	hackathon	2026-10-09	2026-10-11	https://knighthacks.org/
SBUHacks	Stony Brook	New York	hackathon	2026-10-09	2026-10-11	https://hack.sbcs.io/
CodeRED	Houston	Texas	hackathon	2026-10-10	2026-10-11	https://uhcode.red/
Day of Data Pittsburgh	Pittsburgh	Pennsylvania	conference	2026-10-10	-	https://sqlsaturday.com/2026-10-10-sqlsaturday1163/
dev2next	Lone Tree	Colorado	conference	2026-10-12	2026-10-15	https://dev2next.com/
LA Tech Week	Los Angeles	California	tech-week	2026-10-12	2026-10-18	https://www.tech-week.com/
Pacific NW Software Quality Conference	Portland	Oregon	conference	2026-10-12	2026-10-14	https://www.pnsqc.org/
Augmented Enterprise Summit	Atlanta	Georgia	summit	2026-10-13	2026-10-15	https://augmentedenterprisesummit.com/
Forge Summit	North Little Rock	Arkansas	summit	2026-10-13	2026-10-14	https://www.forge.institute/events
Venture Atlanta	Atlanta	Georgia	conference	2026-10-14	2026-10-15	https://www.ventureatlanta.org/
MongoDB.local Dallas	Irving	Texas	conference	2026-10-14	2026-10-14	https://www.mongodb.com/events/mongodb-local/dallas
DelTech Conference	Memphis	Tennessee	conference	2026-10-14	2026-10-16	https://www.epicentermemphis.org/deltech-conference
Rochester Security Summit	Rochester	New York	conference	2026-10-14	2026-10-15	https://rochestersecurity.org/
SANS DFIR Summit & Training	Arlington	Virginia	summit	2026-10-15	2026-10-22	https://www.sans.org/cyber-security-training-events/digital-forensics-summit-2026/
Momentum Developer Conference	Cincinnati	Ohio	conference	2026-10-15	2026-10-15	https://momentumdevcon.com/
Tech Fuse Des Moines	Des Moines	Iowa	conference	2026-10-15	2026-10-16	https://dev.events/NA/US/IA/tech
Scrum Day Madison	Madison	Wisconsin	conference	2026-10-15	2026-10-15	https://dev.events/NA/US/WI/tech
GDEX	Newark	Ohio	expo	2026-10-15	2026-10-18	https://www.thegdex.com
HackHarvard	Cambridge	Massachusetts	hackathon	2026-10-16	2026-10-18	https://hhuh.io/
Data in the D	Detroit	Michigan	conference	2026-10-16	2026-10-17	https://dev.events/NA/US/MI/tech
SwampHacks	Gainesville	Florida	hackathon	2026-10-16	2026-10-18	https://swamphacks.com/
Hack the Valley	Toronto	Ontario	hackathon	2026-10-16	2026-10-18	https://hackthevalley.io/
LA Hacks AI Hackathon	Los Angeles	California	hackathon	2026-10-17	2026-10-18	https://ai.lahacks.com/
Maker Faire Louisville	Louisville	Kentucky	festival	2026-10-17	2026-10-17	https://louisville.makerfaire.com/
Day of Data Orlando	Orlando	Florida	conference	2026-10-17	-	https://sqlsaturday.com/2026-10-17-sqlsaturday1161/
BarCamp Philly	Philadelphia	Pennsylvania	unconference	2026-10-17	2026-10-17	https://barcampphilly.org
Polyglot Unconference	Vancouver	British Columbia	unconference	2026-10-17	2026-10-17	https://polyglotconf.com/
VCF Swap Meet	Wall	New Jersey	expo	2026-10-17	-	https://vcfed.org/events/vcf-swap-meet/
DevOpsDays Boston	Boston	Massachusetts	conference	2026-10-19	2026-10-20	https://devopsdays.org/events/2026-boston/welcome/
AI Rising Conference	Columbus	Ohio	conference	2026-10-19	2026-10-20	https://airising.org/
Maine Tech Week	Portland	Maine	tech-week	2026-10-19	2026-10-22	https://mainetechweek.com/
Sacramento Tech Week	Sacramento	California	tech-week	2026-10-19	2026-10-24	https://www.sactechweek.org/
OIN Connect	San Jose	California	conference	2026-10-19	2026-10-19	https://openinventionnetwork.com/
Lone Star Cyber Summit	Austin	Texas	summit	2026-10-20	2026-10-21	https://lonestar.cyberseries.io
Ignite Summit	Fredericton	New Brunswick	summit	2026-10-20	2026-10-20	https://myignite.ca/
eBrew	Portsmouth	New Hampshire	meetup-series	2026-10-20	-	http://nhtechalliance.org/ebrew
Wisconsin Biohealth Summit	Milwaukee	Wisconsin	summit	2026-10-21	2026-10-22	https://www.mketech.org/events/
ThunderPlains	Oklahoma City	Oklahoma	conference	2026-10-21	2026-10-21	https://2026.thunderplainsconf.com
Innovation Depot Founders Round Table	Birmingham	Alabama	meetup-series	2026-10-22	2026-10-22	https://www.innovationdepot.org/events
Great Lakes Software Symposium	Chicago	Illinois	conference	2026-10-22	2026-10-23	https://nofluffjuststuff.com/chicago
Venture Dallas	Dallas	Texas	summit	2026-10-22	2026-10-22	https://www.venturedallas.org
Minneapolis Technology Summit	Minneapolis	Minnesota	summit	2026-10-22	2026-10-22	https://eitevents.com/event_pages/minneapolis-technology-summit-2026/
BSides TC	Minneapolis	Minnesota	conference	2026-10-23	2026-10-23	https://bsidestc.org
Southwestern Ontario Drupal Camp	Multiple cities	US & Canada	conference	2026-10-23	2026-10-24	https://www.drupal.org/community/events/southwestern-ontario-drupal-camp-2026-10-23
BSides PDX	Portland	Oregon	conference	2026-10-23	2026-10-23	https://bsidespdx.org
SeaGL	Seattle	Washington	conference	2026-10-23	2026-10-24	https://seagl.org/
HackTX	Austin	Texas	hackathon	2026-10-24	2026-10-25	https://hacktx.com/
Vermont Tech Jam	Burlington	Vermont	career-fair	2026-10-24	2026-10-24	https://techjamvt.com/
HackOHI/O	Columbus	Ohio	hackathon	2026-10-24	2026-10-25	https://hack.osu.edu
Video Game Live Expo (VGLX)	Mississauga	Ontario	expo	2026-10-24	2026-10-25	https://vglx.ca/
AI in Education Summit	Mountain View	California	summit	2026-10-24	-	https://www.eventbrite.com/e/ai-in-education-summit-2026-khan-lab-school-tickets-1988581168807
BSides Peoria	Peoria	Illinois	conference	2026-10-24	2026-10-24	https://www.bsidespeoria.com/
Day of Data St. Louis	St. Louis	Missouri	conference	2026-10-24	2026-10-24	https://dev.events/NA/US/MO/tech
SQLSaturday Minnesota	St. Paul	Minnesota	conference	2026-10-24	2026-10-24	https://sqlsaturday.com
Ocean Exchange	Fort Lauderdale	Florida	summit	2026-10-25	2026-10-27	https://oceanexchange.org/
New Mexico Tech Week	Albuquerque	New Mexico	tech-week	2026-10-26	2026-10-31	https://newmexicotechweek.com/
HashiConf	Atlanta	Georgia	conference	2026-10-26	2026-10-29	https://www.hashicorp.com/en/conferences/hashiconf
IBM TechXchange Conference	Atlanta	Georgia	conference	2026-10-26	2026-10-29	https://www.ibm.com/community/ibm-techxchange-conference/
Austin Tech Week	Austin	Texas	tech-week	2026-10-26	2026-10-30	https://www.austintech.com
SANS Miami	Coral Gables	Florida	bootcamp	2026-10-26	2026-10-31	https://www.sans.org/cyber-security-training-events/miami-2026/
New York State Innovation Summit	Buffalo	New York	summit	2026-10-27	2026-10-28	https://nysinnovationsummit.com/
InsurTech Hartford Connect & Protect	Hartford	Connecticut	conference	2026-10-27	-	https://www.eventbrite.com/e/insurtech-hartford-connect-protect-tickets-1996776181310
InsurTech Hartford Innovation Challenge Awards	Hartford	Connecticut	awards	2026-10-27	-	https://insurtechhartford.com/
Vibe Coding Con	Las Vegas	Nevada	conference	2026-10-27	2026-10-28	https://dev.events/NA/US/NV
SAINTCON	Provo	Utah	conference	2026-10-27	2026-10-30	https://saintcon.org/
SHPE National Convention	Indianapolis	Indiana	conference	2026-10-28	2026-10-31	https://shpe.org/engage/events/national-convention/
NVTC Cyber Summit & Cyber50 Awards	Reston	Virginia	summit	2026-10-28	2026-10-28	https://www.nvtc.org/events/
Michigan Technology Conference	Rochester	Michigan	conference	2026-10-28	2026-10-30	https://dev.events/NA/US/MI/tech
GitHub Universe	San Francisco	California	conference	2026-10-28	2026-10-29	https://githubuniverse.com/
NM TechFest	Albuquerque	New Mexico	conference	2026-10-29	2026-10-30	https://nmtechfest.com/
LASCON	Austin	Texas	conference	2026-10-29	2026-10-30	https://lascon.org
DataConnect Conference	Columbus	Ohio	conference	2026-10-29	2026-10-30	https://www.dataconnectconf.com/
Northeast Dreamin'	Concord	New Hampshire	conference	2026-10-29	2026-10-30	https://northeastdreamin.com/
BC Technology Impact Awards	Vancouver	British Columbia	awards	2026-10-29	2026-10-29	https://wearebctech.com/technology-impact-awards-tias/
BSides NoVA	Arlington	Virginia	conference	2026-10-30	2026-10-31	https://www.bsidesnova.org/
Pittsburgh TechFest	Pittsburgh	Pennsylvania	conference	2026-10-30	2026-10-30	https://www.pghtech.org/events
Triangle InfoSeCon	Raleigh	North Carolina	conference	2026-10-30	2026-10-30	https://triangleinfosecon.com/
TechCon 365 Dallas	Dallas	Texas	conference	2026-11-02	2026-11-06	https://www.techcon365.com
SANS Raleigh	Raleigh	North Carolina	bootcamp	2026-11-02	2026-11-07	https://www.sans.org/cyber-security-training-events/raleigh-2026/
Digital Summit Raleigh	Raleigh	North Carolina	conference	2026-11-02	2026-11-03	https://www.digitalsummit.com/
SANS San Francisco	San Francisco	California	bootcamp	2026-11-02	2026-11-07	https://www.sans.org/cyber-security-training-events/san-francisco-2026/
OWASP Global AppSec USA	San Francisco	California	conference	2026-11-02	2026-11-06	https://owasp.org/events/
Global Summit AI Vancouver	Vancouver	British Columbia	summit	2026-11-02	2026-11-03	https://globalsummit.ca/
EWF Annual Conference	Aurora	Colorado	conference	2026-11-04	2026-11-06	https://www.ewfglobal.com/
BSides CMH	Columbus	Ohio	conference	2026-11-04	2026-11-06	https://www.bsidescolumbus.com/
Kentucky Entrepreneur Hall of Fame Induction Celebration	Lexington	Kentucky	awards	2026-11-04	-	https://www.awesomeinc.org/events
Open Source in Finance Forum New York	New York	New York	conference	2026-11-04	2026-11-05	https://events.linuxfoundation.org/open-source-finance-forum-new-york/
SAAS NORTH	Ottawa	Ontario	conference	2026-11-04	2026-11-05	https://www.saasnorth.com/
ElasticON San Francisco	San Francisco	California	conference	2026-11-04	2026-11-04	https://www.elastic.co/elasticon
CISO Fireside	Sundance	Utah	summit	2026-11-05	2026-11-05	https://dev.events/NA/US/UT
WordCamp Canada	Vancouver	British Columbia	conference	2026-11-05	2026-11-06	https://canada.wordcamp.org/2026/
Prompt Victoria AI Conference	Victoria	British Columbia	conference	2026-11-05	2026-11-05	https://members.viatec.ca/event-calendar/Details/2026-prompt-victoria-ai-conference-1845004
Texas Linux Fest	Austin	Texas	conference	2026-11-06	2026-11-07	https://texaslinuxfest.org
